Year,Year2,Year3,State,Total Rev
12/1/06,2006-00-01,1/1/06,Texas,0.038141585
12/1/06,2006-00-01,1/1/06,Utah,0.022052326
12/1/06,2006-00-01,1/1/06,Vermont,0.167261374
12/1/06,2006-00-01,1/1/06,Virginia,0.137860127
12/1/06,2006-00-01,1/1/06,Washington,0.027803782
12/1/06,2006-00-01,1/1/06,West Virginia,0.050388655
12/1/06,2006-00-01,1/1/06,Wisconsin,0.024193336
12/1/06,2006-00-01,1/1/06,Wyoming,0.15664235
12/1/07,2007-00-01,1/1/07,United States,0.127451195
12/1/07,2007-00-01,1/1/07,Alabama,0.175931494
12/1/07,2007-00-01,1/1/07,Alaska,0.14777949
12/1/07,2007-00-01,1/1/07,Arizona,0.090180702
12/1/07,2007-00-01,1/1/07,Arkansas,0.159970677
12/1/07,2007-00-01,1/1/07,California,0.136542515
12/1/07,2007-00-01,1/1/07,Colorado,0.074932666
12/1/07,2007-00-01,1/1/07,Connecticut,0.157146722
12/1/07,2007-00-01,1/1/07,Delaware,0.212637831
12/1/07,2007-00-01,1/1/07,District of Columbia,0.058696887
12/1/07,2007-00-01,1/1/07,Florida,0.280524421
12/1/07,2007-00-01,1/1/07,Georgia,0.072963854
12/1/07,2007-00-01,1/1/07,Hawaii,0.408308609
12/1/07,2007-00-01,1/1/07,Idaho,0.012919856
12/1/07,2007-00-01,1/1/07,Illinois,0.07759002
12/1/07,2007-00-01,1/1/07,Indiana,-0.054151247
12/1/07,2007-00-01,1/1/07,Iowa,0.086872565
12/1/07,2007-00-01,1/1/07,Kansas,0.155150186
12/1/07,2007-00-01,1/1/07,Kentucky,0.19072468
12/1/07,2007-00-01,1/1/07,Louisiana,0.283548848
12/1/07,2007-00-01,1/1/07,Maine,0.175275001
12/1/07,2007-00-01,1/1/07,Maryland,0.221657864
12/1/07,2007-00-01,1/1/07,Massachusetts,0.151158652
12/1/07,2007-00-01,1/1/07,Michigan,0.003369389
12/1/07,2007-00-01,1/1/07,Minnesota,0.088435415
12/1/07,2007-00-01,1/1/07,Mississippi,0.210048628
12/1/07,2007-00-01,1/1/07,Missouri,0.043877775
12/1/07,2007-00-01,1/1/07,Montana,0.157691471
12/1/07,2007-00-01,1/1/07,Nebraska,0.09489442
12/1/07,2007-00-01,1/1/07,Nevada,0.139669207
12/1/07,2007-00-01,1/1/07,New Hampshire,0.226722386
12/1/07,2007-00-01,1/1/07,New Jersey,0.186103024
12/1/07,2007-00-01,1/1/07,New Mexico,0.100178115
12/1/07,2007-00-01,1/1/07,New York,0.281416303
12/1/07,2007-00-01,1/1/07,North Carolina,0.075960993
12/1/07,2007-00-01,1/1/07,North Dakota,0.189524357
12/1/07,2007-00-01,1/1/07,Ohio,0.109386557
12/1/07,2007-00-01,1/1/07,Oklahoma,0.06796574
12/1/07,2007-00-01,1/1/07,Oregon,0.014378189
12/1/07,2007-00-01,1/1/07,Pennsylvania,0.169349057
12/1/07,2007-00-01,1/1/07,Rhode Island,0.187231551
12/1/07,2007-00-01,1/1/07,South Carolina,0.062583204
12/1/07,2007-00-01,1/1/07,South Dakota,0.119786409
12/1/07,2007-00-01,1/1/07,Tennessee,0.054769399
12/1/07,2007-00-01,1/1/07,Texas,0.076243073
12/1/07,2007-00-01,1/1/07,Utah,0.060995993
12/1/07,2007-00-01,1/1/07,Vermont,0.229465182
12/1/07,2007-00-01,1/1/07,Virginia,0.17985348
12/1/07,2007-00-01,1/1/07,Washington,0.077195251
12/1/07,2007-00-01,1/1/07,West Virginia,0.051230427
12/1/07,2007-00-01,1/1/07,Wisconsin,0.03138705
12/1/07,2007-00-01,1/1/07,Wyoming,0.467591722
12/1/08,2008-00-01,1/1/08,United States,0.13751119
12/1/08,2008-00-01,1/1/08,Alabama,0.239853762
12/1/08,2008-00-01,1/1/08,Alaska,0.361375251
12/1/08,2008-00-01,1/1/08,Arizona,0.092280165
12/1/08,2008-00-01,1/1/08,Arkansas,0.162201761
12/1/08,2008-00-01,1/1/08,California,0.135204214
12/1/08,2008-00-01,1/1/08,Colorado,0.078973562
12/1/08,2008-00-01,1/1/08,Connecticut,0.175852458
12/1/08,2008-00-01,1/1/08,Delaware,0.178718354
12/1/08,2008-00-01,1/1/08,District of Columbia,0.065004567
12/1/08,2008-00-01,1/1/08,Florida,0.286917575
12/1/08,2008-00-01,1/1/08,Georgia,0.076996031
12/1/08,2008-00-01,1/1/08,Hawaii,0.161379238
12/1/08,2008-00-01,1/1/08,Idaho,0.033025221
12/1/08,2008-00-01,1/1/08,Illinois,0.094571174
12/1/08,2008-00-01,1/1/08,Indiana,-0.007813306
12/1/08,2008-00-01,1/1/08,Iowa,0.104508469
12/1/08,2008-00-01,1/1/08,Kansas,0.192986824
12/1/08,2008-00-01,1/1/08,Kentucky,0.187749705
12/1/08,2008-00-01,1/1/08,Louisiana,0.354770383
12/1/08,2008-00-01,1/1/08,Maine,0.163071729
12/1/08,2008-00-01,1/1/08,Maryland,0.330957707
12/1/08,2008-00-01,1/1/08,Massachusetts,0.123169031
12/1/08,2008-00-01,1/1/08,Michigan,-0.02640998
12/1/08,2008-00-01,1/1/08,Minnesota,0.107363132
12/1/08,2008-00-01,1/1/08,Mississippi,0.231641571
12/1/08,2008-00-01,1/1/08,Missouri,0.068691372
12/1/08,2008-00-01,1/1/08,Montana,0.196538108
12/1/08,2008-00-01,1/1/08,Nebraska,0.101274082
12/1/08,2008-00-01,1/1/08,Nevada,0.174036197
12/1/08,2008-00-01,1/1/08,New Hampshire,0.254665653
12/1/08,2008-00-01,1/1/08,New Jersey,0.183230757
12/1/08,2008-00-01,1/1/08,New Mexico,0.152570355
12/1/08,2008-00-01,1/1/08,New York,0.306704076
12/1/08,2008-00-01,1/1/08,North Carolina,0.074169509
12/1/08,2008-00-01,1/1/08,North Dakota,0.236899248
12/1/08,2008-00-01,1/1/08,Ohio,0.102773916
12/1/08,2008-00-01,1/1/08,Oklahoma,0.079406175
12/1/08,2008-00-01,1/1/08,Oregon,0.050758591
12/1/08,2008-00-01,1/1/08,Pennsylvania,0.231681531
12/1/08,2008-00-01,1/1/08,Rhode Island,0.218585292
12/1/08,2008-00-01,1/1/08,South Carolina,0.097748765
12/1/08,2008-00-01,1/1/08,South Dakota,0.127143752
12/1/08,2008-00-01,1/1/08,Tennessee,0.096536014
12/1/08,2008-00-01,1/1/08,Texas,0.065920366
12/1/08,2008-00-01,1/1/08,Utah,0.064814191
12/1/08,2008-00-01,1/1/08,Vermont,0.244897137
12/1/08,2008-00-01,1/1/08,Virginia,0.183311043
12/1/08,2008-00-01,1/1/08,Washington,0.113120612
12/1/08,2008-00-01,1/1/08,West Virginia,0.035816783
12/1/08,2008-00-01,1/1/08,Wisconsin,0.036228164
12/1/08,2008-00-01,1/1/08,Wyoming,0.517799262
12/1/09,2009-00-01,1/1/09,United States,0.1425103
12/1/09,2009-00-01,1/1/09,Alabama,0.13312476
12/1/09,2009-00-01,1/1/09,Alaska,0.328297468
12/1/09,2009-00-01,1/1/09,Arizona,0.028244824
12/1/09,2009-00-01,1/1/09,Arkansas,0.186016664
12/1/09,2009-00-01,1/1/09,California,0.113724353
12/1/09,2009-00-01,1/1/09,Colorado,0.07670365
12/1/09,2009-00-01,1/1/09,Connecticut,0.213617623
12/1/09,2009-00-01,1/1/09,Delaware,0.153386773
12/1/09,2009-00-01,1/1/09,District of Columbia,-0.098004197
12/1/09,2009-00-01,1/1/09,Florida,0.130374675
12/1/09,2009-00-01,1/1/09,Georgia,0.019753604
12/1/09,2009-00-01,1/1/09,Hawaii,0.214885003
